Nom du projet	Objectifs du projet	Statut du projet	Date signature de la convention	Référence de la convention	Periode d'Engagement	Date de début	Date de clôture	Pilier	Composante	Secteur principal	Liens vers d'autres secteurs	Bailleurs	Partenaires d'exécution	Ministère de tutelle	Utilisation d'un Fonds fiduciaire multidonateurs	"Si autre, veuillez spécifier"	Nature du financement	Devise utilisée pour le reporting 	Taux de change	Montant du projet en devise	Montant du projet XAF	Montant du projet USD	Décaissements 2017 en devise	Décaissements 2017 XAF	Décaissements 2017 USD	Date(s) Fin de Periode de décaissement en 2017	Prévision de décaissements 2017 en devise	Prévision de décaissements 2017 XAF	Prévision de décaissements 2017 USD	Prévision de décaissements 2018 en devise	Prévision de décaissements 2018 XAF	Prévision de décaissements 2018 USD	Prévision de décaissements 2019 en devise	Prévision de décaissements 2019 XAF	Prévision de décaissements 2019 USD	Prévision de décaissements 2017-2019 USD	Liens vers site internet ou documents du projet	Personne de contact	Email et/ou téléphone de la persone de contact	Atténuer les déséquilibres régionaux	Promouvoir l'égalité des genres	Renforcer la transparence et la redevabilité	Accroître les capacités nationales	Promouvoir l'inclusion des jeunes	Environnement et exploitation durable des ressources	Bangui	Ombella-M'Poko	Lobaye	Nana-Mambéré	Mambéré-Kadéï	Sangha-Mbaéré	Ouham	Ouham-Pendé	Ouaka	Kemo	Nana-Grébizi	Bamingui-Bangoran	Vakaga	Haute-Kotto	Basse-Kotto	Mbomou	Haut-Mbomou	Non attribué	SOUS-LOCALISATION (sous-préfectures)	SOUS-LOCALISATION (communes)	OBSERVATION	Montant total restant à décaisser USD
"PURCE - Projet d'Urgence de Réponse à la Crise Energétique
CAR - Emergency Power Response Project (P114111)"	"Rétablir partiellement l'approvisionnement en électricité fiable des clients d'Enerca à Bangui, y compris les fournisseurs de services essentiels tels que la compagnie d'eau et les hôpitaux, et améliorer la performance financière et opérationnelle du secteur. En particulier, le projet permettra de réhabiliter les installations hydroélectriques Boali 1 et 2."	Cloturé	6-Mar-09	IDA H4500	AVANT BRUXELLES	9-Feb	17-Apr	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Electricité		BANQUE MONDIALE	AGETIP-CAF / ENERCA	Ministère de l'Energie	Pas financé par un fonds fiduciaire multi-donateurs		 Don 	USD	575	8000000	4600000000	8000000	108605	62447639	108605	42975	0.00	0	0	0	0	0	0	0	0	0	http://documents.worldbank.org/curated/en/484581468011711518/Central-African-Republic-CAR-Emergency-Power-Response-Project-P114111-Implementation-Status-Results-Report-Sequence-13	Leopold Sedogo	lsedogo@worldbank.org	Pas ciblé	Pas ciblé	Pas ciblé	Significatif	Pas ciblé	Pas ciblé	4000000	4000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Boali, Bangui"	"Boali, Bangui"		 -   
"CF - Réhabilitation et entretien d'urgence des infrastructures urbaines 
CAR - Emergency Urban Infrastructure Reh (P104595)"	"Accroître l'accès aux infrastructures et services urbains à Bangui, la capitale. Rehabiliter, restaurer, améliorer et élargir l'accès durable aux services d'infrastructure de base pour la population des quartiers les plus défavorisés de Bangui. Soutenir les efforts de Gouvernement pour le maintien de la stabilité sociale et politique."	Cloturé		"IDA 48050
IDA H6110"	AVANT BRUXELLES	10-Sep	Sep-2016 	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Electricité	Eau et assainissement; environnement	BANQUE MONDIALE	AGETIF-CAF	Ministere de l'Urbanisme	Pas financé par un fonds fiduciaire multi-donateurs		 Don 	USD	575	18000000	10620000000	18000000	77981	46008761	77981	42775	0	0	0	0	0	0	0	0	0	0	http://projects.worldbank.org/P104595/car-emergency-urban-infrastructure-rehabilitation-maintenance?lang=en	"Ana Paula Fialho Lopes, Patrice Joachim Nirina Rakotoniaina"	alopes@worldbank.org							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				 -   
"Projet LONDO
CF - LONDO ('Stand-Up') Project 
(P152512)"	"L'objectif du projet Londo («Stand-Up») pour la République centrafricaine est de fournir un emploi temporaire aux personnes vulnérables sur tout le territoire du pays. Le projet comporte quatre composantes: (i) gouvernance locale, (ii) infrastructure publique, (iii) intégration socio-économique, (iv) management de projet."	Actif	26-Aug-15	IDA D0800	AVANT BRUXELLES	15-Jul	18-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Assurer les conditions propices au développement du secteur privé et à l’emploi	Développement du secteur privé et emploi	Infrastrctures urbaines / assainissement / gouvernance locale	BANQUE MONDIALE	AGETIP-CAF  	Ministère du Plan	Pas financé par un fonds fiduciaire multi-donateurs		 Don 	USD	575	20000000	11500000000	20000000	3726563	2142773668	3726563	0	1562000	898150000	1562000	6248000	3592600000	6248000	0	0	0	7810000	http://documents.worldbank.org/curated/en/962531468189561818/Central-African-Republic-Londo-Stand-Up-Project	Paul Bance	pbance@worldbank.org	Principal	Significatif	Pas ciblé	Principal	Principal	Pas ciblé	0	1250000	1250000	1250000	1250000	1250000	1250000	1250000	1250000	1250000	1250000	1250000	1250000	1250000	1250000	1250000	1250000	0	Toutes les sous-préfectures de la RCA (objectif du projet)			7789095
"Projet de Transport et de Transit en zone CEMAC 
CEMAC Transport - Transit Facilitation (P079736)"	"L'objectif du projet de facilitation du transport et du transit de la CEMAC est de faciliter le commerce régional entre les États membres et d'améliorer l'accès de la République centrafricaine, de la République du Cameroun et de la République du Tchad aux marchés mondiaux. Pour  la RCA, il s'agit avant tout d'asphalter le tronçon Bouar-Baoro (60 km)"	Actif	"14 sept 2007
11 déc 2009
2 oct 2012"	"IDA H3140
IDA H5220
IDA H7980"	AVANT BRUXELLES	10-Feb	19-Jan	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	Renforcement des capacités	BANQUE MONDIALE	AGETIP-CAF	Ministère de l'Equipement	Pas financé par un fonds fiduciaire multi-donateurs		 Don 	USD	575	46300000	26622500000	46300000	626906	360471209	626906	0	144812	83266828	144812	579248	333067313	579248	48271	27755609	48271	772330	http://projects.worldbank.org/P079736?lang=en	Marc Navelet	mnavelet@worldbank.org	Pas ciblé	Pas ciblé	Pas ciblé	Significatif	Pas ciblé	Pas ciblé	0	0	0	46300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Communes le long de l'axe Bouar-Baoro	Hypothèse : 50% du montant du projet pour la RCA (projet concerne aussi le Cameroun et le Tchad). Les 50% couvre le coût du tronçon construit en RCA	1544661
"Projet de Transport et de Transit en zone CEMAC 
CEMAC Transport - Transit Facilitation (P079736)"	"L'objectif du projet de facilitation du transport et du transit de la CEMAC est de faciliter le commerce régional entre les États membres et d'améliorer l'accès de la République centrafricaine, de la République du Cameroun et de la République du Tchad aux marchés mondiaux. Pour  la RCA, il s'agit avant tout d'asphalter le tronçon Bouar-Baoro (60 km)"	Actif	2-Oct-12	IDA 51460	AVANT BRUXELLES	10-Feb	19-Jan	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	Renforcement des capacités	BANQUE MONDIALE	AGETIP-CAF	Ministère de l'Equipement	Pas financé par un fonds fiduciaire multi-donateurs		 Prêt 	USD	575	61700000	35477500000	61700000	132044	75925231	132044	0	6936294	3988368996	6936294	27745176	15953475984	27745176	2312098	1329456332	2312098	36993568	http://projects.worldbank.org/P079736?lang=en	Marc Navelet	mnavelet@worldbank.org	Pas ciblé	Pas ciblé	Pas ciblé	Significatif	Pas ciblé	Pas ciblé	0	0	0	61700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Communes le long de l'axe Bouar-Baoro	Hypothèse : 50% du montant du projet pour la RCA (projet concerne aussi le Cameroun et le Tchad). Les 50% couvre le coût du tronçon construit en RCA	73871351
"Projet d'Urgence de Connectivité Locale
Local Connectivity Emergency Project 
(P157923)"	"Réouverture de la route entre Kaga-Bandoro et Ndélé. Le projet Le projet comprend trois types d’activités :
- Amélioration du drainage par réhabilitation de petits ouvrages d’art et du pont sur la Bamingui et entretien des bas cotés en utilisant la méthode des Travaux à Haute Intensité de Main d’Œuvre (THIMO);
- Protection et entretien des routes par la mise en place de barrières de pluie et la formation des équipes de cantonnage, et par des travaux mécanisés de reprofilage et de compactage par la MINUSCA;
- Renforcement de capacités des institutions par le redéploiement des Chefs de Service Préfectoraux du MINTP à Kaga-Bandoro et Ndélé, leur formation et la prise en charge des frais, et la réhabilitation de leurs bureaux à Kaga-Bandoro et Ndélé.
"	Actif	15-Apr-16	TF A2340	AVANT BRUXELLES	16-Apr	19-Sep	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	Cohésion sociale; relance de l'économie locale (emplois THIMO)	BANQUE MONDIALE	UNOPS	Ministère de l'Equipement	Pas financé par un fonds fiduciaire multi-donateurs		 Don 	USD	575	4900000	2817500000	4900000	1433173	824074475	1433173	0	0	0	0	0	0	0	0	0	0	0	http://projects.worldbank.org/P157923?lang=en	Marc Navelet	mnavelet@worldbank.org	Significatif	Significatif	Pas ciblé	Significatif	Significatif	Pas ciblé	0	0	0	0	0	0	0	0	0	0	2450000	2450000	0	0	0	0	0	0				1657116
"Projet de Connectivité Rurale 
Rural Connectivity Project 
(P160500)"	"Améliorer la connectivité des routes rurales aux marchés et services sociaux et, en cas de crise ou d'urgence admissible, fournir une réponse immédiate et efficace : (i) Bassin du Nord-Ouest (Ouham et Ouham-Pendé), (ii) Bassin du Nord-Est (Bamingui-Banguoran, Vakaga et nord de la Haute-Kotto, y compris réhabilitation route Ndélé-Birao)"	Actif	Projet pas encore effectif  	"IDA D2230
IDA V0540"	APRES BRUXELLES	17-Jun	22-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	Protection sociale; gouvernance des infrastructures	BANQUE MONDIALE		Ministere de l'Equipement	Pas financé par un fonds fiduciaire multi-donateurs	Co-financement avec l'AFD (8.4 mios USD)	 Don 	USD	575	48500000	27887500000	48500000	2448373	1407814607	2448373	0	0	0	0	3820000	2196500000	3820000	9200000	5290000000	9200000	13020000	http://projects.worldbank.org/P160500/?lang=en&tab=overview	"Marc Navelet
Andrew Losos"	"mnavelet@worldbank.org
alosos@worldbank.org"	Significatif	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	0	0	0	0	0	0	12125000	12125000	0	0	0	9700000	9700000	4850000	0	0	0	0			Y compris réhabilitation de la route Ndélé-Birao	46996111
"Préparation au REDD+
Central African Republic REDD+ Readiness
(P156721)"	Conception d'une stratégie nationale REDD + socialement et écologiquement rationnelle visant à réduire les émissions dues à la déforestation et à la dégradation des forêts et à l'élaboration d'un niveau national d'émissions de référence pour la REDD +.	En préparation		"TF A3863
TF A2855"	APRES BRUXELLES	17-Apr		Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	Forêts	Environnement	BANQUE MONDIALE	Ministère de l'environnement	Ministère de l'environnement		"Don du CAFI (BM gérant du CAFI), dont contribution de 700k du PNUD"	 Don 	USD	575	4500000	2587500000	4500000	524476	309440557	524476	0	0	0	0	0	0	0	0	0	0	0	http://projects.worldbank.org/P156721?lang=en	"Erik Reed, Mirko Ivo Serkovic"		Pas ciblé	Pas ciblé	Pas ciblé	Significatif	Pas ciblé	Principal	4500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			Assistance technique pour le développement d'une strattégie et des capacités de gestion (pas d'investissement)	3975524
"PASEEL - Projet d'Amélioration de l'Eau et de l'Energie
Water and Energy Upgrading Project
(P162245)"	"Le PASEEL capitalise sur les résultats de PURCE et poursuivra des interventions similaires à Bangui (résilience de Boali 1, compteurs prépayés et mises à niveau de la distribution), en plus de restaurer les infrastructures énergétiques dans deux villes secondaires (Bambari et Berberati) et initier des réformes sectorielles et la réorganisation d'ENERCA."	En préparation	(approbation prévue fin décembre 17)		APRES BRUXELLES	18-Jan		Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Electricité	Eau et assainissement (comptabilisé sous pilier 2) 	BANQUE MONDIALE	"Ministère de l'Energie, mines, hydraulique et Ministère du plan"	"Ministère de l'énergie, mines, hydraulique"			 Don 	USD	575	10000000	5750000000	10000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Sabendo								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1			"Projet Nationale, Projet piloté par les sectoriels"	10000000
"Projet de Gouvernance des Ressources Naturelles en RCA
Natural Resources Governance Project in CAR
(P161973)"		En préparation			APRES BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	Industries extractives	Environnement	BANQUE MONDIALE		"Ministère de l'environnement; Ministère de l'énergie, mines, hydraulique"				USD	575	5000000	2875000000	5000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://projects.worldbank.org/P161973?lang=en	"Laurent Valiergue, Rachel Bernice Perks"	"lvaliergue@worldbank.org
rperks@worldbank.org"	Pas ciblé	Pas ciblé	Significatif	Significatif	Pas ciblé	Principal	5000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			Assistance technique	5000000
